,AROU_M,VAL_M,DOM_M,CNC_M,IMAG_M,FAM_M,AOA_M,SIZE_M,GEND_M
dim_59,-0.10161755787931652,-0.04871231304591885,-0.08997057763560223,-0.07947876155076457,-0.07125293016662924,-0.041719358540606516,0.01553461494038715,-0.060436278690561826,-0.0423545071588437
dim_60,-0.03891148205837967,-0.08258676571606482,-0.023185580795017802,-0.053353479810378794,-0.08648416415425358,-0.08910511410510392,0.15738691959766268,0.03253857458457224,0.08754504834206622
dim_61,0.020354161616557592,0.0154683844276391,-0.021465548848963855,0.0450566793345173,0.056850157967112715,-0.012135332482783654,-0.013156713367691239,-0.017268658690918273,-0.02018802490614973
dim_62,-0.06256820233282612,-0.044660381118734466,0.02108536660385567,-0.0005145629091753781,-0.003189565322506645,-0.04752900093649529,0.06872918682496611,-0.07745243722822966,0.07592867384360105
dim_63,0.018207225780475855,0.009897437115418179,0.029988938079628734,0.05057107353722732,0.06816861208527525,0.07305540762742922,-0.07372965870093695,0.03299720467040947,0.0005777718839813811
dim_64,0.04010172917978731,0.0639160534319349,0.09288112112468677,0.01155067050260561,-0.01240028555081839,0.005722394758388039,0.018423552538609462,-0.02241220525220799,-0.030953975726588864
dim_65,0.006013029473825921,-0.007895621578587222,0.035517279321937247,0.0675713463645199,0.04487381975026728,-0.023063963868549028,-0.019716551160419656,-0.008027267144142954,0.06095162139843705
dim_66,-0.023143966473887445,0.026033566906756157,-0.002390644196141254,-0.03344875470930171,-0.02751002900940875,0.07316955977598055,-0.08462017605163889,0.032475220744916745,-0.043095692931090335
dim_67,-0.017347988765651016,-0.045858554765730405,-0.06462103382595234,-0.00505421800340462,0.01818941579606402,-0.015738951335356143,0.02240114367750419,0.04336403477950635,-0.027072821504647297
dim_68,-0.03185482237450959,0.006642780702192638,-0.018989721171807174,0.1713807360158746,0.156589816466575,0.06640725655298592,-0.07642695891043369,-0.051556488407573806,-0.011705694288194774
dim_69,0.015596573002247866,0.03726236186443803,0.1047075780115743,-0.023129455962723533,-0.027093161075717614,-0.018958946198374765,0.0695141928382022,0.03673144576274729,0.021490202296563055
dim_70,-0.02641120147909373,-0.01210829427059379,0.014056184437785654,0.05196931741243513,0.04364124289855253,0.09004974321720674,-0.07158687831190477,0.058896357216102306,0.09657851709831049
dim_71,0.05832334818577439,-0.03387948702600003,-0.030829822593958313,-0.08402996350388824,-0.06385952927996633,-0.0346286210767546,0.03893036267306659,0.050418282140009124,-0.021425727814574535
dim_72,-0.040935379505861305,-0.02527528438028743,-0.027552366687587135,-0.001280839114957933,-0.007524891580005873,0.01954859034512036,0.057734344520735253,0.05655010179208179,0.06274530961425936
dim_73,0.05075665206267014,0.019577074189238243,0.04675635769165243,-0.0173916729004648,0.015209096349071867,0.05922716395558844,-0.06727918588780166,0.06728020463508864,-0.02339867212478237
dim_74,0.017774651810018256,0.04065377284769976,0.006144905379386672,0.031714387694778384,0.017430967093747012,0.011909394626045833,-0.021080620243780886,0.047341123901918115,-0.003210899158241915
dim_75,-0.0015372582203966737,-0.025168217557841616,-0.02758073818609385,-0.01744923135350703,-0.026432612667619385,-0.008043441087513958,0.05413202504400922,0.06115125167238684,0.017308244663050067
dim_76,-0.0024361735436776435,-0.007316534295438215,-0.01424864770404181,0.07276906816093791,0.06810885222078535,-0.07145165646278177,0.09727585001204395,-0.0022048046730902297,0.0154459355876924
dim_77,-0.001286671965278533,0.03837808133719244,0.05345251107492384,0.035160953904609084,0.03868075152158585,0.0030318208718916524,0.039809407994495574,0.03595928419602678,0.0025010036459739166
