,AROU_M,VAL_M,DOM_M,CNC_M,IMAG_M,FAM_M,AOA_M,SIZE_M,GEND_M
dim_89,-0.017501351687187708,0.03356788847157976,0.040849468512739934,0.062282345271408725,0.06104042776314949,-0.01154276138591259,-0.026627016181684608,0.012233227907005024,0.01812653305646713
dim_90,0.09110075248848264,0.0351502808456571,0.023387760608057136,0.010648538092671217,0.022801454623764834,0.046788986798155005,-0.057550209170588965,0.06917899563965504,0.010507651577508161
dim_91,0.002177366831792842,0.02379161311502182,0.08964314748956159,-0.014960397672452786,0.007653402242152433,0.06616290695942005,-0.10079274104514116,-0.06251317838504278,0.00789515643456145
dim_92,0.03624677816318338,-0.03567682871787758,-0.08501108642047048,0.003367509420988083,-0.026482932184466356,-0.06977763890592818,0.05299327976417604,0.055205468699851316,-0.01683928236753705
dim_93,-0.03477739399000074,-0.017021814615048335,-0.035990062929622785,-0.023485749301118384,-0.013657390123436381,0.02675282469900677,-0.03930644953983549,-0.02172380975237623,-0.014131161642641653
dim_94,0.0033781078784118268,0.006114076835326196,0.02302175714992437,-0.052909662234390184,-0.07092863814208185,-0.0824028334397029,0.06796067777869064,0.038823481903620026,0.005804975888016828
dim_95,-0.022218816069295936,-0.061105216089403246,-0.056550022226563676,-0.10068197614621822,-0.1029376055418618,0.010042020666331655,0.011149086511595827,-0.037908504729403235,-0.04018846080460467
dim_96,-0.023450627803558277,-0.03348481063033184,-0.07304478769317437,-0.03441618488922582,-0.01908599781024617,0.0087821059427864,-0.02173962286742186,-0.0034245756849305728,-0.031991259789078554
dim_97,0.0648301071939557,0.009123228772255704,0.0231222815502391,-0.07946504413574297,-0.06774434900872027,0.06403023626739081,-0.049668199061450216,0.025466016048163544,0.009912160408564418
dim_98,0.003761395672709979,0.0593298713186601,0.05094434909798701,-0.014948925187019726,-0.012808192485415515,-0.004725058832374257,0.04846538910198113,0.033595541942674514,0.019404450985142443
dim_99,0.07822354993698498,0.09089899157261754,0.08291574423283303,-0.02197311079410547,0.02365632693362651,0.0942972493699813,-0.07658419551868417,0.03193011492549763,-0.04376907506909704
dim_100,-0.04973060466601677,0.006783650935889245,0.021329809207102236,0.06976887369948964,0.037197411191838926,-0.09083831288191747,0.04887783365546256,-0.09514434658287564,-0.009970068329583684
dim_101,-0.014797434610489543,-0.012840930783142884,-0.02918335761536787,0.04813953717651714,0.03994816425027114,-0.015070103125005233,-0.020390965917814693,-0.02385785111728672,-0.03319173471686634
dim_102,0.03776541093744542,0.04101042221040448,0.014293673444430319,0.05201179444574822,0.06956081686250719,0.04605773421966259,-0.0729318637037354,-0.06232106864171107,-0.04952806780518515
dim_103,-0.032054691132922745,0.022055437657046387,0.039605852378637146,0.08518609238305438,0.08568865868780523,-0.010580382494176574,0.019114133237200907,0.011340452045244486,-0.015627403947812753
dim_104,0.03292833121558307,-0.03079136285774757,0.039818917907876145,0.003207523066983754,-0.010664875905631586,-0.0034198409128462937,0.036451551939380475,0.052086703375972675,0.0598002803117714
dim_105,-0.07637260930473094,-0.01742885225421587,0.012081932728394185,0.07417640797922152,0.0247460773050472,-0.007865249772945442,-0.004978538371291793,-0.008202968253541687,0.06393951221450038
dim_106,-0.13060733428712445,-0.11143202249320355,-0.04692757446840274,0.0016544048320751787,-0.016246656521892205,-0.09461646178978739,0.10405816108274102,-0.04800278573189126,0.0955995572186234
dim_107,-0.006162468327212848,-0.012787012679861036,-0.00830949931465205,-0.029942281052075713,-0.040984520923246406,-0.09819254377007472,0.06247124041757782,-0.021938395771007525,0.039813487049150775
dim_108,0.04489216535543749,0.026269491476420107,-0.031749529954287876,0.021945882060507092,0.02126396546473661,0.02485013725465105,-0.02893167752297007,0.03050729478914675,-0.026040531797980507
dim_109,-0.04063102052526672,0.020081028029032454,-0.005467142546028136,-0.0002160857433902252,-0.00967435124500047,0.01643319315205024,-0.01332306776075159,-0.019348062682751327,-0.03183841468726043
dim_110,-0.0615399766027703,0.004364589482322227,-0.03848408417544433,0.07365269418700285,0.04836408042214221,-0.04582958580168863,-0.0025792496113430964,-0.024844505571344724,0.014092279564051425
dim_111,-0.019416517124859707,-0.055846485426039684,-0.0722383899422243,0.0014982316864208265,-0.005867521872022409,-0.05520313344352778,0.05665561784921487,0.0268051871018581,-0.008337566191729444
dim_112,-0.04094285925809728,-0.0160381848461761,-0.0007871371804778199,-0.004832124088409232,-0.004144218373580949,0.0199330201694392,-0.011424063501973695,-0.046760991716816414,-0.03855282876573151
dim_113,0.030714326233396948,0.0230459053038889,0.023754338712185855,0.06131155448456404,0.07788847009626441,0.0487467628272092,-0.03545829913880585,-0.06593172081933446,-0.011247576199055802
dim_114,-0.03752774287999592,0.014680948768752759,0.018986677714541857,0.0479788686781929,0.04997043105927918,0.026572835741352056,-0.06270157301139204,-0.06424583194364934,-0.022594338467226003
dim_115,0.05924442700934505,0.022225822102472242,0.022352974313771982,0.028655131978879145,0.04769815653379294,0.06680743783773098,-0.06307513908140605,0.005991440612752693,0.013955899113691855
dim_116,0.048304159280328364,-0.02560762141447845,-0.01733759418796341,-0.013098823108911984,-0.004308714927048429,0.0616796481234167,-0.06297102237574573,0.06902924188025751,-0.011776614764714696
dim_117,-0.05428435026156632,-0.02532638139015831,-0.01266936039116386,0.019510531563571146,0.010433908500091748,0.01056318353206896,-0.04383707970379165,-0.01789416306001071,0.054007713952897406
